0,1,2
images/img_16355345493.png,0,0
images/img_16355345493.png,0,0
images/img_16355345494.png,0,0
images/img_16355345495.png,0,0
images/img_16355345495.png,0,0
images/img_16355345497.png,0,0
images/img_16355345498.png,0,0
images/img_16355345498.png,0,0
images/img_16355345519.png,1,0
images/img_16355345519.png,1,0
images/img_16355345520.png,1,0
images/img_16355345598.png,1,0
images/img_16355345599.png,1,0
images/img_16355345600.png,1,0
images/img_16355345600.png,1,0
images/img_16355345695.png,1,0
images/img_16355345696.png,1,0
images/img_16355345696.png,1,0
images/img_16355345775.png,1,0
images/img_16355345775.png,1,0
images/img_16355345776.png,1,0
images/img_16355345776.png,1,0
images/img_16355345794.png,1,0
images/img_16355345795.png,1,0
images/img_16355345795.png,1,1
images/img_16355345805.png,1,0
images/img_16355345805.png,1,0
images/img_16355345806.png,1,1
images/img_16355345810.png,1,0
images/img_16355345810.png,1,0
images/img_16355345811.png,1,1
images/img_16355345811.png,1,1
images/img_16355345820.png,1,0
images/img_16355345820.png,1,0
images/img_16355345821.png,1,0
images/img_16355345833.png,1,0
images/img_16355345834.png,1,0
images/img_16355345834.png,1,1
images/img_16355345903.png,1,0
images/img_16355345903.png,1,0
images/img_16355345928.png,0,0
images/img_16355345928.png,0,0
images/img_16355345929.png,1,0
images/img_16355345929.png,1,0
images/img_16355345933.png,0,0
images/img_16355345934.png,0,0
images/img_16355345934.png,0,0
images/img_16355345935.png,0,0
images/img_16355345950.png,0,1
images/img_16355345950.png,0,1
images/img_16355345951.png,0,1
images/img_16355345968.png,1,1
images/img_16355345968.png,1,1
images/img_16355345976.png,1,0
images/img_16355345977.png,1,0
images/img_16355345985.png,1,0
images/img_16355345985.png,1,0
images/img_16355345986.png,1,0
images/img_16355346000.png,0,0
images/img_16355346001.png,0,0
images/img_16355346001.png,0,0
images/img_16355346002.png,0,0
images/img_16355350809.png,1,0
images/img_16355350809.png,1,0
images/img_16355350810.png,1,0
images/img_16355350810.png,1,0
images/img_16355350819.png,1,0
images/img_16355350819.png,1,0
images/img_16355350820.png,1,0
images/img_16355350831.png,1,0
images/img_16355350831.png,1,0
images/img_16355350832.png,1,0
images/img_16355350832.png,1,0
images/img_16355350835.png,1,0
images/img_16355350835.png,1,0
images/img_16355350836.png,1,0
images/img_16355350876.png,1,0
images/img_16355350876.png,1,0
images/img_16355350877.png,1,0
images/img_16355350877.png,1,0
images/img_16355350895.png,1,0
images/img_16355350896.png,1,0
images/img_16355350896.png,1,0
images/img_16355350920.png,1,0
images/img_16355350920.png,1,0
images/img_16355350921.png,1,0
images/img_16355350930.png,1,0
images/img_16355350930.png,1,0
images/img_16355350931.png,1,0
images/img_16355350947.png,1,0
images/img_16355350947.png,1,0
images/img_16355350948.png,1,0
images/img_16355350967.png,1,0
images/img_16355350967.png,1,0
images/img_16355351056.png,1,0
images/img_16355351056.png,1,0
images/img_16355351057.png,1,0
images/img_16355351075.png,1,0
images/img_16355351076.png,1,0
images/img_16355351076.png,1,0
images/img_16355351089.png,1,0
images/img_16355351089.png,1,0
images/img_16355351167.png,0,0
images/img_16355351168.png,0,0
images/img_16355351168.png,0,0
images/img_16355351169.png,0,0
images/img_16355351171.png,0,0
images/img_16355351172.png,0,0
images/img_16355351172.png,0,0
images/img_16355351214.png,0,0
images/img_16355351214.png,0,0
images/img_16355351215.png,0,0
images/img_16355351222.png,1,0
images/img_16355351223.png,1,0
images/img_16355351223.png,1,0
images/img_16355351230.png,1,0
images/img_16355351231.png,1,0
images/img_16355351231.png,1,0
images/img_16355351236.png,1,0
images/img_16355351236.png,1,0
images/img_16355351237.png,1,0
images/img_16355351241.png,1,1
images/img_16355351241.png,1,1
images/img_16355351242.png,1,1
images/img_16355351250.png,1,0
images/img_16355351250.png,1,0
images/img_16355351251.png,1,0
images/img_16355351253.png,1,1
images/img_16355351254.png,1,1
images/img_16355351254.png,1,1
images/img_16355351259.png,1,0
images/img_16355351260.png,1,0
images/img_16355351260.png,1,0
images/img_16355351261.png,1,1
images/img_16355351273.png,1,0
images/img_16355351273.png,1,0
images/img_16355351274.png,1,0
images/img_16355351275.png,1,0
images/img_16355351275.png,1,0
images/img_16355351338.png,1,0
images/img_16355351339.png,1,0
images/img_16355351339.png,1,0
images/img_16355351344.png,1,0
images/img_16355351344.png,1,0
images/img_16355351345.png,1,0
images/img_16355351349.png,1,0
images/img_16355351350.png,1,0
images/img_16355351350.png,1,0
images/img_16355351354.png,1,0
images/img_16355351355.png,1,0
images/img_16355351355.png,1,0
images/img_16355351361.png,1,0
images/img_16355351361.png,1,0
images/img_16355351362.png,1,0
images/img_16355351365.png,1,0
images/img_16355351365.png,1,0
